Key, Value
node.sampler.seed,{444,222}
net.numOfNodes,5
sim.numofSim,30
tangle.numOfFounders,10
bitcoin.minSizeToMine,1000
net.sampler.seed,123
tangle.wMinPercentile,0.5f
sim.maxTransactions,50000
node.maliciousHashPower,900000f
bitcoin.minValueToMine,1
node.createMaliciousNode,false
tangle.alpha,0.01f
pow.hashPowerSD,5
net.throughputSD,20f
tangle.randomSeed,123
sim.reportingWindow,100000
net.sampler.file,./resources/net.csv
workload.txFeeValueMean,50f
node.sampler.seedUpdateTimes,{2500}
bitcoin.maxBlockSize,3000
pow.difficulty,86.39E12
node.electricCostMean,0.1f
workload.sampler.file,./resources/workload.csv
node.electricCostSD,0.05f
tangle.startingCutset,1000
tangle.numOfParticles,4
sim.maxNodes,20
tangle.wMaxPercentile,0.75f
workload.txFeeValueSD,12f
workload.txSizeSD,93.21f
workload.numTransactions,30
node.electricPowerMean,1375f
node.electricPowerSD,20f
workload.lambda,70f
pow.hashPowerMean,111000
node.sampler.file,./resources/nodelist.csv
net.throughputMean,25000f
worlkoad.targetTransaction,3
sim.reporting.window,100000
workload.txSizeMean,559.87f
